fight,final_round,ko여부,winner_sig_str_succ,winner_sig_str_att,loser_sig_str_succ,loser_sig_str_att,winner_total_str_succ,winner_total_str_att,loser_total_str_succ,loser_total_str_att,winner_td_attempt_succ,winner_td_attempt_att,loser_td_attempt_succ,loser_td_attempt_att,winner_head_succ,winner_head_att,loser_head_succ,loser_head_att,winner_body_succ,winner_body_att,loser_body_succ,loser_body_att,winner_leg_succ,winner_leg_att,loser_leg_succ,loser_leg_att,winner_distance_succ,winner_distance_att,loser_distance_succ,loser_distance_att,winner_clinch_succ,winner_clinch_att,loser_clinch_succ,loser_clinch_att,winner_ground_succ,winner_ground_att,loser_ground_succ,loser_ground_att,winner_kd,loser_kd,winner_sig_str_pct,loser_sig_str_pct,winner_td_pct,loser_td_pct,winner_sub_att,loser_sub_att,winner_rev,loser_rev,winner_ctrl_sec,loser_ctrl_sec
fight4,2,0,3.0,8.0,4.0,7.0,9.0,14.0,4.0,8.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,8.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,57.0,0.0,100.0,0.0,0.0,1.0,0.0,167.0,60.0
fight8,2,0,6.0,18.0,1.0,6.0,19.0,32.0,1.0,6.0,2.0,5.0,0.0,0.0,2.0,12.0,0.0,4.0,4.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,14.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,33.0,16.0,40.0,0.0,0.0,0.0,0.0,0.0,184.0,16.0
fight25,2,0,7.0,18.0,12.0,24.0,17.0,30.0,30.0,43.0,0.0,0.0,1.0,2.0,1.0,9.0,6.0,14.0,1.0,2.0,4.0,6.0,5.0,7.0,2.0,4.0,6.0,17.0,11.0,21.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,38.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,9.0,86.0
fight26,2,0,10.0,16.0,0.0,1.0,27.0,43.0,0.0,1.0,2.0,3.0,0.0,0.0,7.0,13.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,62.0,0.0,66.0,0.0,1.0,0.0,0.0,0.0,272.0,0.0
fight32,2,0,1.0,3.0,9.0,13.0,4.0,6.0,16.0,21.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,7.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,2.0,1.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,1.0,33.0,69.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,235.0
fight69,2,0,32.0,62.0,2.0,4.0,76.0,123.0,2.0,4.0,0.0,0.0,0.0,0.0,28.0,57.0,1.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,18.0,2.0,4.0,0.0,0.0,0.0,0.0,29.0,44.0,0.0,0.0,1.0,0.0,51.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,190.0,0.0
fight80,2,0,5.0,5.0,2.0,4.0,15.0,16.0,4.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,1.0,100.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,34.0,226.0
fight98,2,0,12.0,50.0,26.0,52.0,12.0,50.0,26.0,52.0,0.0,0.0,0.0,2.0,7.0,40.0,16.0,37.0,2.0,7.0,2.0,6.0,3.0,3.0,8.0,9.0,12.0,50.0,26.0,51.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fight101,2,0,37.0,78.0,31.0,74.0,58.0,100.0,48.0,92.0,0.0,0.0,2.0,4.0,26.0,64.0,16.0,58.0,6.0,8.0,14.0,15.0,5.0,6.0,1.0,1.0,30.0,71.0,20.0,57.0,7.0,7.0,7.0,9.0,0.0,0.0,4.0,8.0,0.0,0.0,47.0,41.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,126.0
fight105,2,0,19.0,42.0,31.0,62.0,20.0,47.0,31.0,62.0,0.0,0.0,0.0,1.0,7.0,22.0,15.0,42.0,6.0,11.0,7.0,11.0,6.0,9.0,9.0,9.0,19.0,42.0,31.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,28.0
fight107,2,0,5.0,8.0,5.0,8.0,16.0,19.0,20.0,28.0,0.0,0.0,2.0,3.0,4.0,7.0,2.0,5.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,6.0,3.0,6.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0,66.0,0.0,0.0,1.0,0.0,20.0,252.0
fight124,2,0,2.0,4.0,0.0,6.0,14.0,18.0,6.0,13.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,2.0,0.0,0.0,0.0,266.0,0.0
fight130,2,0,9.0,16.0,16.0,30.0,17.0,24.0,28.0,43.0,1.0,4.0,0.0,0.0,3.0,10.0,1.0,10.0,5.0,5.0,8.0,12.0,1.0,1.0,7.0,8.0,8.0,14.0,14.0,26.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,53.0,25.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0
fight141,2,0,6.0,11.0,12.0,18.0,10.0,16.0,51.0,60.0,0.0,0.0,2.0,2.0,1.0,5.0,9.0,15.0,5.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,10.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,5.0,0.0,0.0,54.0,66.0,0.0,100.0,0.0,0.0,0.0,0.0,38.0,228.0
fight150,2,0,10.0,21.0,7.0,8.0,18.0,29.0,26.0,27.0,1.0,1.0,3.0,8.0,9.0,19.0,3.0,4.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,2.0,5.0,6.0,5.0,6.0,4.0,7.0,0.0,0.0,0.0,0.0,47.0,87.0,100.0,37.0,2.0,0.0,0.0,0.0,61.0,212.0
fight160,2,0,6.0,7.0,5.0,7.0,15.0,16.0,32.0,39.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,85.0,71.0,0.0,66.0,0.0,1.0,0.0,0.0,0.0,274.0
fight165,2,0,26.0,64.0,23.0,52.0,32.0,73.0,25.0,54.0,1.0,2.0,0.0,0.0,23.0,61.0,13.0,41.0,3.0,3.0,5.0,6.0,0.0,0.0,5.0,5.0,25.0,63.0,23.0,52.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,44.0,50.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
fight173,2,0,27.0,64.0,10.0,26.0,28.0,65.0,15.0,31.0,0.0,0.0,2.0,5.0,10.0,42.0,8.0,23.0,8.0,12.0,1.0,1.0,9.0,10.0,1.0,2.0,26.0,62.0,10.0,26.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,42.0,38.0,0.0,40.0,0.0,0.0,0.0,0.0,5.0,91.0
fight176,2,0,5.0,11.0,4.0,17.0,18.0,28.0,4.0,17.0,1.0,5.0,0.0,0.0,2.0,5.0,0.0,6.0,0.0,3.0,2.0,6.0,3.0,3.0,2.0,5.0,4.0,10.0,4.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,23.0,20.0,0.0,1.0,1.0,0.0,0.0,164.0,38.0
fight178,2,0,8.0,30.0,39.0,58.0,34.0,57.0,63.0,90.0,1.0,4.0,0.0,0.0,6.0,27.0,21.0,38.0,1.0,1.0,16.0,18.0,1.0,2.0,2.0,2.0,5.0,26.0,11.0,19.0,0.0,1.0,16.0,23.0,3.0,3.0,12.0,16.0,0.0,1.0,26.0,67.0,25.0,0.0,0.0,0.0,0.0,0.0,71.0,61.0
fight195,2,0,8.0,14.0,6.0,24.0,25.0,35.0,10.0,28.0,3.0,4.0,0.0,0.0,6.0,12.0,4.0,21.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,7.0,6.0,24.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,57.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,200.0,8.0
fight199,2,0,7.0,28.0,38.0,71.0,7.0,30.0,44.0,78.0,0.0,3.0,1.0,2.0,3.0,22.0,28.0,58.0,4.0,6.0,10.0,13.0,0.0,0.0,0.0,0.0,4.0,25.0,10.0,32.0,3.0,3.0,8.0,12.0,0.0,0.0,20.0,27.0,0.0,0.0,25.0,53.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,120.0
fight203,2,0,21.0,48.0,29.0,45.0,21.0,48.0,33.0,49.0,2.0,4.0,0.0,0.0,14.0,37.0,13.0,28.0,5.0,9.0,8.0,9.0,2.0,2.0,8.0,8.0,18.0,44.0,26.0,42.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,43.0,64.0,50.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
fight219,2,0,23.0,60.0,23.0,36.0,23.0,60.0,23.0,37.0,1.0,2.0,0.0,0.0,15.0,52.0,10.0,22.0,7.0,7.0,2.0,3.0,1.0,1.0,11.0,11.0,22.0,59.0,23.0,36.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,38.0,63.0,50.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0
fight238,2,0,21.0,37.0,9.0,36.0,24.0,40.0,17.0,45.0,0.0,1.0,0.0,0.0,9.0,23.0,5.0,29.0,6.0,8.0,4.0,5.0,6.0,6.0,0.0,2.0,19.0,35.0,9.0,34.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,118.0
fight239,2,0,26.0,59.0,1.0,16.0,26.0,59.0,1.0,16.0,0.0,0.0,0.0,2.0,7.0,23.0,0.0,13.0,13.0,29.0,0.0,2.0,6.0,7.0,1.0,1.0,26.0,59.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
fight251,2,0,20.0,41.0,20.0,44.0,24.0,45.0,33.0,57.0,0.0,0.0,2.0,5.0,11.0,30.0,14.0,36.0,8.0,10.0,4.0,6.0,1.0,1.0,2.0,2.0,17.0,38.0,14.0,36.0,2.0,2.0,3.0,4.0,1.0,1.0,3.0,4.0,0.0,0.0,48.0,45.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,144.0
fight285,2,0,31.0,61.0,12.0,41.0,40.0,72.0,12.0,41.0,2.0,4.0,0.0,0.0,20.0,47.0,5.0,28.0,4.0,6.0,6.0,12.0,7.0,8.0,1.0,1.0,24.0,53.0,10.0,39.0,4.0,5.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,50.0,29.0,50.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0
fight288,2,0,7.0,10.0,7.0,16.0,9.0,12.0,8.0,17.0,0.0,1.0,1.0,3.0,2.0,5.0,2.0,11.0,4.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0,11.0,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,70.0,43.0,0.0,33.0,0.0,0.0,0.0,0.0,72.0,152.0
fight293,2,0,24.0,49.0,28.0,55.0,24.0,49.0,34.0,62.0,0.0,3.0,0.0,0.0,11.0,33.0,16.0,43.0,10.0,12.0,7.0,7.0,3.0,4.0,5.0,5.0,17.0,38.0,16.0,42.0,7.0,11.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,38.0
fight300,2,0,15.0,38.0,22.0,43.0,18.0,41.0,27.0,49.0,1.0,1.0,0.0,0.0,10.0,24.0,14.0,32.0,3.0,11.0,4.0,6.0,2.0,3.0,4.0,5.0,15.0,36.0,19.0,37.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,39.0,51.0,100.0,0.0,0.0,0.0,0.0,0.0,8.0,35.0
fight318,2,0,12.0,29.0,12.0,47.0,12.0,29.0,13.0,48.0,1.0,3.0,0.0,0.0,6.0,17.0,7.0,39.0,2.0,5.0,3.0,5.0,4.0,7.0,2.0,3.0,11.0,27.0,10.0,44.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,41.0,25.0,33.0,0.0,0.0,0.0,0.0,0.0,41.0,8.0
fight328,2,0,11.0,24.0,7.0,17.0,17.0,32.0,11.0,21.0,2.0,6.0,0.0,0.0,4.0,17.0,2.0,10.0,6.0,6.0,3.0,4.0,1.0,1.0,2.0,3.0,7.0,19.0,5.0,14.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,45.0,41.0,33.0,0.0,0.0,0.0,0.0,0.0,130.0,57.0
fight334,2,0,8.0,17.0,3.0,12.0,20.0,34.0,12.0,22.0,4.0,5.0,0.0,0.0,7.0,16.0,3.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,2.0,10.0,2.0,5.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,47.0,25.0,80.0,0.0,1.0,0.0,0.0,0.0,246.0,0.0
fight356,2,0,23.0,52.0,26.0,43.0,28.0,57.0,26.0,43.0,0.0,1.0,1.0,3.0,11.0,36.0,19.0,35.0,3.0,5.0,2.0,2.0,9.0,11.0,5.0,6.0,15.0,43.0,22.0,39.0,8.0,9.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,60.0,0.0,33.0,0.0,1.0,0.0,0.0,46.0,33.0
fight365,2,0,19.0,48.0,19.0,37.0,25.0,55.0,22.0,42.0,3.0,5.0,0.0,0.0,19.0,47.0,15.0,32.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,11.0,27.0,13.0,30.0,1.0,6.0,5.0,5.0,7.0,15.0,1.0,2.0,1.0,0.0,39.0,51.0,60.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0
