fight_id,ko_winner_body_total,ko_winner_leg_total,ko_loser_body_total,ko_loser_leg_total,non_ko_winner_body_total,non_ko_winner_leg_total,non_ko_loser_body_total,non_ko_loser_leg_total
fight10,0.0,4.0,1.0,2.0,,,,
fight101,,,,,8.0,6.0,15.0,1.0
fight104,4.0,3.0,5.0,2.0,,,,
fight105,1.0,1.0,1.0,0.0,11.0,9.0,11.0,9.0
fight107,1.0,3.0,12.0,6.0,0.0,1.0,3.0,0.0
fight115,2.0,3.0,9.0,3.0,,,,
fight116,0.0,0.0,6.0,1.0,,,,
fight117,5.0,7.0,8.0,11.0,,,,
fight12,13.0,7.0,9.0,5.0,,,,
fight121,0.0,11.0,3.0,0.0,,,,
fight124,,,,,0.0,1.0,0.0,0.0
fight130,,,,,5.0,1.0,12.0,8.0
fight132,8.0,7.0,1.0,8.0,,,,
fight133,14.0,0.0,4.0,6.0,,,,
fight135,2.0,0.0,0.0,0.0,,,,
fight136,20.0,0.0,5.0,1.0,,,,
fight141,,,,,6.0,0.0,3.0,0.0
fight146,10.0,9.0,4.0,0.0,,,,
fight147,1.0,9.0,0.0,1.0,,,,
fight150,,,,,2.0,0.0,4.0,0.0
fight151,20.0,8.0,9.0,4.0,,,,
fight153,12.0,6.0,20.0,1.0,,,,
fight154,1.0,4.0,0.0,4.0,,,,
fight155,12.0,2.0,4.0,4.0,,,,
fight159,5.0,4.0,8.0,7.0,,,,
fight160,,,,,2.0,3.0,3.0,1.0
fight162,6.0,3.0,0.0,0.0,,,,
fight163,30.0,2.0,9.0,1.0,,,,
fight165,,,,,3.0,0.0,6.0,5.0
fight166,10.0,4.0,10.0,3.0,,,,
fight168,1.0,0.0,6.0,1.0,,,,
fight169,13.0,20.0,8.0,6.0,,,,
fight171,1.0,0.0,5.0,3.0,,,,
fight172,4.0,1.0,2.0,1.0,,,,
fight173,,,,,12.0,10.0,1.0,2.0
fight174,12.0,6.0,2.0,8.0,,,,
fight176,,,,,3.0,3.0,6.0,5.0
fight178,,,,,1.0,2.0,18.0,2.0
fight180,6.0,1.0,8.0,4.0,,,,
fight181,8.0,1.0,22.0,9.0,,,,
fight189,0.0,3.0,3.0,0.0,,,,
fight192,11.0,3.0,10.0,6.0,,,,
fight194,3.0,13.0,6.0,6.0,,,,
fight195,14.0,19.0,6.0,0.0,1.0,1.0,1.0,2.0
fight199,,,,,6.0,0.0,13.0,0.0
fight2,6.0,12.0,4.0,1.0,,,,
fight20,6.0,4.0,9.0,3.0,,,,
fight201,20.0,4.0,4.0,28.0,,,,
fight202,4.0,16.0,11.0,7.0,,,,
fight203,,,,,9.0,2.0,9.0,8.0
fight209,11.0,1.0,10.0,8.0,,,,
fight212,4.0,0.0,3.0,1.0,,,,
fight213,7.0,4.0,6.0,0.0,,,,
fight214,11.0,3.0,13.0,3.0,,,,
fight215,8.0,0.0,0.0,3.0,,,,
fight219,3.0,1.0,1.0,3.0,7.0,1.0,3.0,11.0
fight22,9.0,1.0,4.0,0.0,,,,
fight223,6.0,13.0,4.0,5.0,,,,
fight23,0.0,2.0,4.0,1.0,,,,
fight236,4.0,19.0,6.0,3.0,,,,
fight238,,,,,8.0,6.0,5.0,2.0
fight239,,,,,29.0,7.0,2.0,1.0
fight241,4.0,5.0,4.0,3.0,,,,
fight249,6.0,0.0,9.0,3.0,,,,
fight25,,,,,2.0,7.0,6.0,4.0
fight250,7.0,1.0,3.0,2.0,,,,
fight251,,,,,10.0,1.0,6.0,2.0
fight252,7.0,11.0,28.0,5.0,,,,
fight253,2.0,1.0,0.0,6.0,,,,
fight255,8.0,2.0,12.0,2.0,,,,
fight257,1.0,0.0,7.0,7.0,,,,
fight26,5.0,11.0,7.0,24.0,1.0,2.0,0.0,0.0
fight285,,,,,6.0,8.0,12.0,1.0
fight288,,,,,4.0,1.0,3.0,2.0
fight293,,,,,12.0,4.0,7.0,5.0
fight300,,,,,11.0,3.0,6.0,5.0
fight318,,,,,5.0,7.0,5.0,3.0
fight32,,,,,0.0,2.0,4.0,2.0
fight328,,,,,6.0,1.0,4.0,3.0
fight334,,,,,1.0,0.0,0.0,0.0
fight35,4.0,3.0,2.0,1.0,,,,
fight356,,,,,5.0,11.0,2.0,6.0
fight365,,,,,1.0,0.0,5.0,0.0
fight38,0.0,1.0,10.0,8.0,,,,
fight380,,,,,9.0,2.0,8.0,5.0
fight387,,,,,2.0,0.0,5.0,0.0
fight398,,,,,3.0,4.0,12.0,4.0
fight4,,,,,1.0,3.0,1.0,0.0
fight405,,,,,5.0,0.0,11.0,0.0
fight423,,,,,12.0,4.0,13.0,7.0
fight43,2.0,0.0,2.0,3.0,,,,
fight434,,,,,2.0,1.0,8.0,8.0
fight441,,,,,5.0,11.0,4.0,3.0
fight463,,,,,25.0,1.0,7.0,6.0
fight467,,,,,1.0,0.0,1.0,0.0
fight468,,,,,2.0,0.0,0.0,0.0
fight504,,,,,3.0,2.0,3.0,3.0
fight514,,,,,3.0,6.0,1.0,3.0
fight517,,,,,6.0,7.0,3.0,9.0
fight521,,,,,6.0,4.0,9.0,3.0
fight529,,,,,9.0,0.0,2.0,0.0
fight54,14.0,2.0,5.0,4.0,,,,
fight56,19.0,9.0,11.0,2.0,,,,
fight58,4.0,2.0,5.0,10.0,,,,
fight6,4.0,4.0,19.0,5.0,,,,
fight61,13.0,8.0,4.0,0.0,,,,
fight66,14.0,7.0,6.0,5.0,,,,
fight67,14.0,4.0,14.0,3.0,,,,
fight68,3.0,4.0,12.0,24.0,,,,
fight69,,,,,5.0,0.0,0.0,1.0
fight7,10.0,2.0,2.0,4.0,,,,
fight75,3.0,11.0,2.0,0.0,,,,
fight76,10.0,2.0,4.0,0.0,,,,
fight77,13.0,8.0,10.0,6.0,,,,
fight78,3.0,11.0,1.0,0.0,,,,
fight8,,,,,6.0,0.0,2.0,0.0
fight80,6.0,4.0,14.0,7.0,3.0,1.0,1.0,0.0
fight82,6.0,1.0,7.0,0.0,,,,
fight87,11.0,4.0,10.0,5.0,,,,
fight89,4.0,3.0,8.0,3.0,,,,
fight90,8.0,6.0,7.0,5.0,,,,
fight91,14.0,4.0,4.0,9.0,,,,
