fight_id,current_round,kd,sig_str,sig_str_pct,total_str,td_attempt,td_pct,sub_att,rev,ctrl_sec,head,body,leg,distance,clinch,ground,total_round,method
fight4,1,"[0, 0]","[[3, 8], [4, 7]]","[37.0, 57.0]","[[9, 14], [4, 8]]","[[0, 0], [1, 1]]","[0.0, 100.0]","[0, 0]","[1, 0]","[167, 60]","[[0, 4], [3, 6]]","[[1, 1], [1, 1]]","[[2, 3], [0, 0]]","[[3, 8], [4, 7]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight4,2,"[0, 0]","[[8, 25], [14, 35]]","[32.0, 40.0]","[[9, 26], [14, 35]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[1, 0]","[0, 0]","[48, 0]","[[4, 17], [13, 34]]","[[2, 5], [1, 1]]","[[2, 3], [0, 0]]","[[7, 24], [14, 35]]","[[1, 1], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight8,1,"[0, 0]","[[6, 18], [1, 6]]","[33.0, 16.0]","[[19, 32], [1, 6]]","[[2, 5], [0, 0]]","[40.0, 0.0]","[0, 0]","[0, 0]","[184, 16]","[[2, 12], [0, 4]]","[[4, 6], [1, 2]]","[[0, 0], [0, 0]]","[[4, 14], [1, 6]]","[[2, 2], [0, 0]]","[[0, 2], [0, 0]]",,Submission
fight8,2,"[0, 0]","[[11, 20], [4, 11]]","[55.0, 36.0]","[[18, 29], [5, 12]]","[[1, 5], [0, 0]]","[20.0, 0.0]","[1, 0]","[0, 0]","[94, 18]","[[7, 14], [4, 10]]","[[4, 6], [0, 1]]","[[0, 0], [0, 0]]","[[5, 12], [4, 11]]","[[1, 1], [0, 0]]","[[5, 7], [0, 0]]",,Submission
fight25,1,"[0, 0]","[[7, 18], [12, 24]]","[38.0, 50.0]","[[17, 30], [30, 43]]","[[0, 0], [1, 2]]","[0.0, 50.0]","[0, 0]","[0, 0]","[9, 86]","[[1, 9], [6, 14]]","[[1, 2], [4, 6]]","[[5, 7], [2, 4]]","[[6, 17], [11, 21]]","[[1, 1], [0, 1]]","[[0, 0], [1, 2]]",,Submission
fight25,2,"[0, 0]","[[5, 9], [1, 3]]","[55.0, 33.0]","[[19, 27], [3, 5]]","[[0, 0], [1, 1]]","[0.0, 100.0]","[1, 1]","[0, 0]","[123, 64]","[[3, 7], [0, 2]]","[[2, 2], [0, 0]]","[[0, 0], [1, 1]]","[[4, 8], [1, 3]]","[[0, 0], [0, 0]]","[[1, 1], [0, 0]]",,Submission
fight26,1,"[0, 0]","[[10, 16], [0, 1]]","[62.0, 0.0]","[[27, 43], [0, 1]]","[[2, 3], [0, 0]]","[66.0, 0.0]","[1, 0]","[0, 0]","[272, 0]","[[7, 13], [0, 1]]","[[1, 1], [0, 0]]","[[2, 2], [0, 0]]","[[2, 3], [0, 1]]","[[0, 0], [0, 0]]","[[8, 13], [0, 0]]",,Submission
fight26,2,"[0, 0]","[[44, 54], [12, 26]]","[81.0, 46.0]","[[50, 60], [14, 28]]","[[1, 2], [0, 1]]","[50.0, 0.0]","[1, 0]","[0, 0]","[60, 7]","[[29, 38], [11, 25]]","[[10, 11], [1, 1]]","[[5, 5], [0, 0]]","[[22, 30], [10, 23]]","[[22, 24], [2, 3]]","[[0, 0], [0, 0]]",,Submission
fight32,1,"[0, 1]","[[1, 3], [9, 13]]","[33.0, 69.0]","[[4, 6], [16, 21]]","[[0, 0], [1, 1]]","[0.0, 100.0]","[0, 0]","[0, 0]","[0, 235]","[[1, 1], [5, 7]]","[[0, 0], [4, 4]]","[[0, 2], [0, 2]]","[[1, 3], [3, 5]]","[[0, 0], [0, 0]]","[[0, 0], [6, 8]]",,Submission
fight32,2,"[0, 0]","[[15, 23], [6, 27]]","[65.0, 22.0]","[[18, 26], [8, 29]]","[[1, 2], [3, 4]]","[50.0, 75.0]","[0, 1]","[0, 0]","[12, 102]","[[12, 20], [4, 24]]","[[1, 1], [1, 1]]","[[2, 2], [1, 2]]","[[11, 19], [5, 25]]","[[2, 2], [1, 2]]","[[2, 2], [0, 0]]",,Submission
fight69,1,"[1, 0]","[[32, 62], [2, 4]]","[51.0, 50.0]","[[76, 123], [2, 4]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[1, 0]","[0, 0]","[190, 0]","[[28, 57], [1, 3]]","[[4, 5], [0, 0]]","[[0, 0], [1, 1]]","[[3, 18], [2, 4]]","[[0, 0], [0, 0]]","[[29, 44], [0, 0]]",,Submission
fight69,2,"[0, 0]","[[30, 47], [0, 2]]","[63.0, 0.0]","[[53, 94], [0, 2]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[1, 0]","[0, 0]","[173, 1]","[[30, 47], [0, 2]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]","[[1, 5], [0, 2]]","[[0, 0], [0, 0]]","[[29, 42], [0, 0]]",,Submission
fight80,1,"[0, 1]","[[5, 5], [2, 4]]","[100.0, 50.0]","[[15, 16], [4, 7]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[0, 0]","[0, 0]","[34, 226]","[[1, 1], [2, 3]]","[[3, 3], [0, 1]]","[[1, 1], [0, 0]]","[[2, 2], [1, 2]]","[[0, 0], [0, 0]]","[[3, 3], [1, 2]]",,Submission
fight80,2,"[0, 0]","[[3, 4], [1, 3]]","[75.0, 33.0]","[[3, 4], [6, 8]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 1]","[0, 0]","[0, 85]","[[1, 2], [1, 3]]","[[2, 2], [0, 0]]","[[0, 0], [0, 0]]","[[3, 4], [0, 0]]","[[0, 0], [0, 0]]","[[0, 0], [1, 3]]",,Submission
