fight,final_round,ko여부,winner_sig_str_succ,winner_sig_str_att,loser_sig_str_succ,loser_sig_str_att,winner_total_str_succ,winner_total_str_att,loser_total_str_succ,loser_total_str_att,winner_td_attempt_succ,winner_td_attempt_att,loser_td_attempt_succ,loser_td_attempt_att,winner_head_succ,winner_head_att,loser_head_succ,loser_head_att,winner_body_succ,winner_body_att,loser_body_succ,loser_body_att,winner_leg_succ,winner_leg_att,loser_leg_succ,loser_leg_att,winner_distance_succ,winner_distance_att,loser_distance_succ,loser_distance_att,winner_clinch_succ,winner_clinch_att,loser_clinch_succ,loser_clinch_att,winner_ground_succ,winner_ground_att,loser_ground_succ,loser_ground_att,winner_kd,loser_kd,winner_sig_str_pct,loser_sig_str_pct,winner_td_pct,loser_td_pct,winner_sub_att,loser_sub_att,winner_rev,loser_rev,winner_ctrl_sec,loser_ctrl_sec
fight4,2,1,12.0,36.0,11.0,53.0,12.0,36.0,11.0,53.0,0.0,0.0,0.0,0.0,7.0,28.0,3.0,29.0,2.0,4.0,6.0,19.0,3.0,4.0,2.0,5.0,12.0,36.0,11.0,51.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fight5,2,1,29.0,73.0,20.0,57.0,31.0,75.0,25.0,62.0,0.0,0.0,1.0,1.0,21.0,61.0,17.0,51.0,6.0,10.0,1.0,2.0,2.0,2.0,2.0,4.0,25.0,59.0,12.0,44.0,0.0,0.0,2.0,3.0,4.0,14.0,6.0,10.0,1.0,1.0,39.0,35.0,0.0,100.0,0.0,1.0,0.0,0.0,21.0,136.0
fight8,2,1,8.0,18.0,3.0,8.0,14.0,25.0,13.0,24.0,0.0,1.0,1.0,2.0,4.0,14.0,2.0,5.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,2.0,6.0,16.0,3.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,37.0,0.0,50.0,0.0,2.0,0.0,0.0,0.0,260.0
fight10,2,1,39.0,63.0,36.0,82.0,45.0,70.0,44.0,91.0,0.0,1.0,0.0,0.0,21.0,43.0,23.0,68.0,12.0,13.0,9.0,9.0,6.0,7.0,4.0,5.0,25.0,46.0,28.0,72.0,14.0,17.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,61.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,6.0
fight18,2,1,11.0,31.0,10.0,37.0,11.0,31.0,14.0,42.0,0.0,1.0,0.0,0.0,6.0,21.0,5.0,25.0,3.0,6.0,5.0,9.0,2.0,4.0,0.0,3.0,10.0,30.0,9.0,36.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
fight20,2,1,20.0,52.0,4.0,10.0,41.0,87.0,27.0,34.0,1.0,3.0,0.0,0.0,16.0,42.0,3.0,6.0,3.0,9.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,17.0,3.0,9.0,0.0,0.0,1.0,1.0,18.0,35.0,0.0,0.0,0.0,0.0,38.0,40.0,33.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0
fight21,2,1,35.0,40.0,4.0,5.0,57.0,66.0,12.0,13.0,1.0,1.0,0.0,0.0,34.0,38.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,33.0,36.0,0.0,0.0,0.0,0.0,87.0,80.0,100.0,0.0,0.0,0.0,0.0,0.0,277.0,0.0
fight24,2,1,27.0,54.0,35.0,53.0,27.0,54.0,35.0,53.0,0.0,0.0,0.0,0.0,15.0,38.0,16.0,22.0,4.0,5.0,4.0,7.0,8.0,11.0,15.0,24.0,27.0,54.0,35.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fight33,2,1,9.0,25.0,8.0,16.0,9.0,25.0,32.0,45.0,0.0,0.0,1.0,3.0,4.0,18.0,6.0,13.0,2.0,4.0,2.0,2.0,3.0,3.0,0.0,1.0,9.0,25.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,36.0,50.0,0.0,33.0,0.0,0.0,0.0,0.0,2.0,172.0
fight36,2,1,12.0,13.0,38.0,49.0,14.0,16.0,53.0,68.0,0.0,1.0,2.0,4.0,11.0,12.0,21.0,31.0,0.0,0.0,10.0,10.0,1.0,1.0,7.0,8.0,9.0,10.0,13.0,22.0,3.0,3.0,23.0,25.0,0.0,0.0,2.0,2.0,0.0,0.0,92.0,77.0,0.0,50.0,3.0,1.0,0.0,0.0,23.0,200.0
fight41,2,1,4.0,11.0,5.0,7.0,12.0,23.0,19.0,22.0,0.0,0.0,2.0,9.0,3.0,9.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,3.0,7.0,1.0,2.0,1.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,71.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,281.0
fight52,2,1,16.0,27.0,12.0,34.0,16.0,28.0,12.0,35.0,0.0,0.0,0.0,3.0,4.0,11.0,7.0,25.0,10.0,14.0,2.0,5.0,2.0,2.0,3.0,4.0,16.0,27.0,12.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
fight54,2,1,41.0,77.0,18.0,45.0,57.0,95.0,19.0,47.0,1.0,3.0,0.0,1.0,18.0,49.0,9.0,32.0,15.0,19.0,7.0,11.0,8.0,9.0,2.0,2.0,30.0,50.0,18.0,45.0,2.0,6.0,0.0,0.0,9.0,21.0,0.0,0.0,0.0,0.0,53.0,40.0,33.0,0.0,0.0,1.0,0.0,0.0,138.0,0.0
fight56,2,1,27.0,51.0,33.0,56.0,27.0,51.0,33.0,56.0,0.0,0.0,0.0,0.0,21.0,45.0,18.0,41.0,4.0,4.0,5.0,5.0,2.0,2.0,10.0,10.0,25.0,48.0,31.0,54.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
