fight,ko_winner_body_total,ko_winner_leg_total,ko_loser_body_total,ko_loser_leg_total,non_ko_winner_body_total,non_ko_winner_leg_total,non_ko_loser_body_total,non_ko_loser_leg_total
fight1,,,,,16.0,5.0,3.0,5.0
fight10,,,,,16.0,13.0,30.0,3.0
fight100,21.0,12.0,27.0,11.0,45.0,0.0,33.0,30.0
fight102,,,,,8.0,7.0,11.0,9.0
fight103,,,,,10.0,3.0,18.0,15.0
fight104,,,,,23.0,11.0,17.0,8.0
fight106,,,,,19.0,14.0,10.0,8.0
fight108,,,,,16.0,17.0,4.0,13.0
fight109,6.0,7.0,12.0,16.0,10.0,0.0,8.0,0.0
fight11,,,,,29.0,12.0,6.0,12.0
fight110,,,,,26.0,12.0,22.0,25.0
fight111,2.0,8.0,21.0,31.0,11.0,6.0,8.0,3.0
fight112,,,,,8.0,0.0,8.0,1.0
fight114,,,,,22.0,2.0,10.0,6.0
fight115,,,,,25.0,6.0,1.0,0.0
fight117,,,,,8.0,10.0,7.0,4.0
fight118,,,,,13.0,24.0,13.0,4.0
fight119,10.0,11.0,24.0,8.0,11.0,11.0,39.0,4.0
fight12,,,,,6.0,17.0,25.0,4.0
fight120,,,,,15.0,32.0,4.0,7.0
fight121,,,,,13.0,8.0,6.0,5.0
fight122,,,,,3.0,9.0,15.0,3.0
fight123,,,,,9.0,2.0,2.0,1.0
fight125,,,,,3.0,2.0,1.0,2.0
fight126,,,,,17.0,11.0,31.0,11.0
fight128,,,,,9.0,12.0,6.0,7.0
fight129,,,,,7.0,1.0,27.0,18.0
fight13,,,,,16.0,13.0,16.0,15.0
fight130,12.0,5.0,4.0,1.0,,,,
fight131,,,,,34.0,8.0,12.0,4.0
fight132,,,,,8.0,7.0,14.0,4.0
fight133,,,,,15.0,5.0,24.0,1.0
fight134,,,,,16.0,15.0,25.0,14.0
fight135,,,,,18.0,11.0,10.0,7.0
fight136,,,,,28.0,6.0,20.0,13.0
fight137,,,,,27.0,17.0,20.0,14.0
fight138,,,,,2.0,2.0,15.0,3.0
fight14,6.0,3.0,3.0,19.0,,,,
fight140,,,,,1.0,2.0,1.0,1.0
fight141,32.0,9.0,15.0,21.0,,,,
fight142,,,,,17.0,7.0,7.0,2.0
fight143,,,,,5.0,4.0,10.0,21.0
fight144,,,,,9.0,38.0,27.0,11.0
fight145,,,,,27.0,26.0,19.0,3.0
fight146,,,,,12.0,8.0,13.0,6.0
fight147,,,,,13.0,4.0,35.0,4.0
fight149,,,,,17.0,7.0,5.0,3.0
fight15,,,,,51.0,13.0,31.0,7.0
