fight_id,current_round,kd,sig_str,sig_str_pct,total_str,td_attempt,td_pct,sub_att,rev,ctrl_sec,head,body,leg,distance,clinch,ground,total_round,method
fight5,1,"[0, 0]","[[26, 61], [15, 42]]","[42.0, 35.0]","[[33, 69], [15, 42]]","[[1, 1], [0, 1]]","[100.0, 0.0]","[1, 0]","[0, 0]","[34, 18]","[[13, 35], [7, 30]]","[[9, 20], [1, 5]]","[[4, 6], [7, 7]]","[[23, 55], [14, 39]]","[[3, 6], [0, 1]]","[[0, 0], [1, 2]]",,Submission
fight17,1,"[0, 0]","[[1, 2], [2, 2]]","[50.0, 100.0]","[[1, 2], [2, 2]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[2, 0]","[0, 0]","[47, 0]","[[1, 2], [0, 0]]","[[0, 0], [1, 1]]","[[0, 0], [1, 1]]","[[0, 0], [2, 2]]","[[0, 0], [0, 0]]","[[1, 2], [0, 0]]",,Submission
fight22,1,"[0, 0]","[[0, 1], [1, 1]]","[0.0, 100.0]","[[7, 9], [2, 3]]","[[0, 0], [3, 4]]","[0.0, 75.0]","[0, 1]","[0, 0]","[0, 87]","[[0, 1], [1, 1]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]","[[0, 1], [1, 1]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight37,1,"[0, 0]","[[7, 20], [10, 16]]","[35.0, 62.0]","[[11, 25], [17, 23]]","[[0, 0], [0, 1]]","[0.0, 0.0]","[0, 1]","[0, 0]","[103, 0]","[[4, 16], [7, 13]]","[[2, 3], [0, 0]]","[[1, 1], [3, 3]]","[[5, 12], [6, 11]]","[[0, 1], [0, 0]]","[[2, 7], [4, 5]]",,Submission
fight42,1,"[0, 0]","[[6, 19], [9, 27]]","[31.0, 33.0]","[[18, 31], [18, 37]]","[[1, 2], [0, 0]]","[50.0, 0.0]","[1, 0]","[0, 0]","[87, 0]","[[5, 17], [2, 18]]","[[1, 2], [3, 5]]","[[0, 0], [4, 4]]","[[5, 18], [9, 27]]","[[0, 0], [0, 0]]","[[1, 1], [0, 0]]",,Submission
fight46,1,"[0, 0]","[[5, 13], [7, 15]]","[38.0, 46.0]","[[6, 15], [14, 28]]","[[0, 1], [3, 6]]","[0.0, 50.0]","[0, 1]","[0, 0]","[0, 128]","[[3, 9], [5, 10]]","[[2, 4], [2, 5]]","[[0, 0], [0, 0]]","[[2, 10], [5, 12]]","[[3, 3], [1, 2]]","[[0, 0], [1, 1]]",,Submission
fight49,1,"[0, 0]","[[10, 24], [16, 31]]","[41.0, 51.0]","[[11, 25], [16, 31]]","[[0, 0], [0, 3]]","[0.0, 0.0]","[1, 0]","[0, 0]","[0, 27]","[[5, 19], [8, 17]]","[[2, 2], [6, 12]]","[[3, 3], [2, 2]]","[[9, 23], [16, 31]]","[[1, 1], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight53,1,"[0, 0]","[[28, 50], [10, 25]]","[56.0, 40.0]","[[29, 51], [12, 29]]","[[2, 3], [0, 1]]","[66.0, 0.0]","[0, 1]","[0, 0]","[71, 0]","[[25, 47], [7, 18]]","[[3, 3], [1, 1]]","[[0, 0], [2, 6]]","[[21, 39], [10, 25]]","[[6, 8], [0, 0]]","[[1, 3], [0, 0]]",,Submission
fight62,1,"[0, 0]","[[15, 21], [8, 13]]","[71.0, 61.0]","[[15, 21], [10, 16]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[0, 2]","[0, 0]","[34, 0]","[[2, 6], [2, 4]]","[[3, 5], [0, 0]]","[[10, 10], [6, 9]]","[[15, 21], [8, 13]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight74,1,"[0, 0]","[[19, 40], [12, 26]]","[47.0, 46.0]","[[19, 40], [14, 29]]","[[0, 0], [3, 3]]","[0.0, 100.0]","[0, 1]","[0, 0]","[0, 80]","[[7, 25], [6, 18]]","[[2, 4], [1, 3]]","[[10, 11], [5, 5]]","[[19, 40], [9, 23]]","[[0, 0], [2, 2]]","[[0, 0], [1, 1]]",,Submission
