fight_id,current_round,kd,sig_str,sig_str_pct,total_str,td_attempt,td_pct,sub_att,rev,ctrl_sec,head,body,leg,distance,clinch,ground,total_round,method
fight2,1,"[0, 1]","[[10, 13], [14, 36]]","[76.0, 38.0]","[[10, 13], [14, 36]]","[[0, 0], [0, 4]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]","[[7, 10], [6, 24]]","[[2, 2], [7, 10]]","[[1, 1], [1, 2]]","[[9, 12], [14, 35]]","[[1, 1], [0, 1]]","[[0, 0], [0, 0]]",,KO/TKO
fight7,1,"[0, 1]","[[8, 23], [24, 40]]","[34.0, 60.0]","[[8, 23], [24, 40]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 13]","[[6, 18], [11, 24]]","[[0, 3], [3, 4]]","[[2, 2], [10, 12]]","[[8, 23], [24, 39]]","[[0, 0], [0, 0]]","[[0, 0], [0, 1]]",,KO/TKO
fight8,1,"[0, 1]","[[20, 82], [17, 38]]","[24.0, 44.0]","[[20, 82], [18, 39]]","[[0, 2], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[5, 2]","[[7, 62], [14, 35]]","[[7, 12], [3, 3]]","[[6, 8], [0, 0]]","[[20, 81], [13, 33]]","[[0, 1], [0, 0]]","[[0, 0], [4, 5]]",,KO/TKO
fight10,1,"[1, 0]","[[21, 29], [9, 16]]","[72.0, 56.0]","[[24, 32], [10, 18]]","[[0, 0], [0, 2]]","[0.0, 0.0]","[0, 0]","[0, 0]","[61, 21]","[[17, 23], [3, 8]]","[[3, 3], [2, 4]]","[[1, 3], [4, 4]]","[[18, 24], [8, 14]]","[[0, 0], [1, 2]]","[[3, 5], [0, 0]]",,KO/TKO
fight12,1,"[1, 0]","[[7, 13], [5, 9]]","[53.0, 55.0]","[[21, 36], [11, 16]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[0, 0]","[0, 0]","[156, 0]","[[5, 10], [3, 6]]","[[0, 0], [0, 1]]","[[2, 3], [2, 2]]","[[5, 11], [5, 9]]","[[0, 0], [0, 0]]","[[2, 2], [0, 0]]",,KO/TKO
fight14,1,"[1, 0]","[[23, 25], [3, 9]]","[92.0, 33.0]","[[23, 25], [3, 9]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[10, 0]","[[21, 23], [2, 5]]","[[2, 2], [0, 3]]","[[0, 0], [1, 1]]","[[7, 9], [3, 9]]","[[0, 0], [0, 0]]","[[16, 16], [0, 0]]",,KO/TKO
fight15,1,"[0, 1]","[[4, 15], [4, 9]]","[26.0, 44.0]","[[4, 15], [4, 9]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 3]","[[1, 7], [4, 7]]","[[1, 3], [0, 0]]","[[2, 5], [0, 2]]","[[4, 15], [4, 9]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,KO/TKO
fight16,1,"[0, 0]","[[26, 42], [13, 46]]","[61.0, 28.0]","[[26, 43], [14, 49]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 35]","[[14, 29], [9, 35]]","[[5, 5], [2, 7]]","[[7, 8], [2, 4]]","[[24, 39], [12, 44]]","[[2, 3], [1, 2]]","[[0, 0], [0, 0]]",,TKO - Doctor's Stoppage
fight17,1,"[1, 0]","[[6, 7], [0, 1]]","[85.0, 0.0]","[[6, 7], [0, 1]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[1, 0]","[[2, 3], [0, 1]]","[[1, 1], [0, 0]]","[[3, 3], [0, 0]]","[[5, 6], [0, 1]]","[[0, 0], [0, 0]]","[[1, 1], [0, 0]]",,KO/TKO
fight18,1,"[0, 0]","[[54, 69], [4, 13]]","[78.0, 30.0]","[[69, 90], [4, 13]]","[[0, 0], [1, 2]]","[0.0, 50.0]","[1, 0]","[1, 0]","[60, 8]","[[53, 67], [3, 9]]","[[1, 2], [0, 3]]","[[0, 0], [1, 1]]","[[8, 18], [4, 13]]","[[0, 0], [0, 0]]","[[46, 51], [0, 0]]",,KO/TKO
